127.0.0.1 - - [13/Jan/2016:15:47:37 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:47:37 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:47:42 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:48:50 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:48:59 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:50:27 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:53:36 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:53:39 +0530] "GET /JavaScript/callback.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:54:04 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:54:54 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:55:36 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:55:37 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:55:37 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:55:38 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:55:38 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:55:42 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:56:18 +0530] "GET /JavaScript/callback.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:56:25 +0530] "GET /JavaScript/callback.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:56:57 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:57:12 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:57:29 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:57:49 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [13/Jan/2016:15:58:34 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:00:37 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:00:49 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:08:03 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:09:14 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:09:31 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:12:25 +0530] "GET /JavaScript/callback.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:13:01 +0530] "GET /JavaScript/callback.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:13:26 +0530] "GET /JavaScript/callback.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:13:34 +0530] "GET /JavaScript/callback.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:13:39 +0530] "GET /JavaScript/callback.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:14:26 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:16:48 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:18:47 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:19:04 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:19:33 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:21:02 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:21:56 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:22:14 +0530] "GET /JavaScript/callback.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:22:56 +0530] "GET /JavaScript/callback.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:23:12 +0530] "GET /JavaScript/callback.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:24:53 +0530] "GET /JavaScript/callback.html HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [13/Jan/2016:16:24:57 +0530] "GET /JavaScript/callback.html HTTP/1.1" 304 -
