127.0.0.1 - - [27/Jan/2016:13:54:58 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Jan/2016:13:54:58 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [27/Jan/2016:13:55:11 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [27/Jan/2016:13:55:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Jan/2016:13:56:07 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [27/Jan/2016:13:56:25 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1877
0:0:0:0:0:0:0:1 - - [27/Jan/2016:13:58:06 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1239
0:0:0:0:0:0:0:1 - - [27/Jan/2016:13:59:27 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [27/Jan/2016:13:59:29 +0530] "GET /Demo/topbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:00:02 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:00:24 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:12:30 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:12:50 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:17:16 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:17:25 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:17:51 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:28:17 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:30:41 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:31:35 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:31:38 +0530] "GET /Demo/topbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:37:48 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:38:12 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:43:05 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:44:49 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:45:28 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:53:57 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 4084
0:0:0:0:0:0:0:1 - - [27/Jan/2016:14:54:36 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:02:58 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:04:15 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:07:19 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:08:13 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:08:41 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:09:01 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:13:18 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:16:14 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:29:09 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:31:39 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:31:50 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:32:04 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:33:43 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1812
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:34:28 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1675
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:36:25 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:36:57 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:39:37 +0530] "GET /Demo/topbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:43:47 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:45:21 +0530] "GET /Demo/topbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:47:36 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:47:55 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:52:31 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:52:49 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:53:32 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [27/Jan/2016:15:53:52 +0530] "GET /Demo/topbar.html HTTP/1.1" 200 1485
